#Id|Instrument Name |Type|Band       |Telescope         |Homepage                                                                                                            |Remarks                                                                                                                                                                                 |Last Modified|Modified By
1  |DBSP            |spec|optical    |P200              |http://www.astro.caltech.edu/palomar/200inch/dbl_spec/dbsphome.html                                                 |                                                                                                                                                                                        |2010-12-02   |admin      
2  |LFC             |phot|optical    |P200              |http://www.astro.caltech.edu/palomar/200inch/lfc/lfc_spec.html                                                      |                                                                                                                                                                                        |2010-12-02   |admin      
3  |LRIS            |both|optical    |Keck1             |http://www2.keck.hawaii.edu/inst/lris/                                                                              |                                                                                                                                                                                        |2010-12-02   |admin      
4  |DEIMOS          |spec|optical    |Keck2             |http://www2.keck.hawaii.edu/inst/deimos/                                                                            |                                                                                                                                                                                        |2010-12-02   |admin      
5  |RC Spec         |spec|optical    |Mayall            |http://www.noao.edu/kpno/manuals/l2mspect/                                                                          |                                                                                                                                                                                        |2010-12-02   |admin      
6  |GMOS            |spec|optical    |Gemini-N          |http://www.gemini.edu/sciops/instruments/gmos/?q=sciops/instruments/gmos                                            |                                                                                                                                                                                        |2010-12-02   |admin      
7  |FORS2           |spec|optical    |VLT-UT1           |http://www.eso.org/public/teles-instr/vlt/vlt-instr.html                                                            |                                                                                                                                                                                        |2011-06-30   |admin      
8  |FORS1           |spec|optical    |VLT-UT1           |http://www.eso.org/public/teles-instr/vlt/vlt-instr.html                                                            |Decommissioned                                                                                                                                                                          |2011-07-03   |admin      
9  |GMOS-S          |spec|optical    |Gemini-S          |http://www.gemini.edu/node/10625                                                                                    |Gemini Multi-Object Spectrographs                                                                                                                                                       |2011-07-06   |admin      
10 |KAST            |spec|optical    |Lick 3m           |http://mthamilton.ucolick.org/techdocs/instruments/kast/                                                            |                                                                                                                                                                                        |2010-12-02   |admin      
11 |SNIFS           |spec|optical    |UH88              |http://www.ifa.hawaii.edu/88inch/2.2-meter-technical.htm                                                            |                                                                                                                                                                                        |2010-12-02   |admin      
12 |X-Shooter       |spec|optical    |VLT-UT2           |http://www.eso.org/sci/facilities/paranal/instruments/xshooter/                                                     |                                                                                                                                                                                        |2010-12-02   |admin      
15 |DOLORES         |both|optical    |TNG               |http://www.tng.iac.es/instruments/lrs/                                                                              |Device Optimized for the LOw RESolution - LRS in short                                                                                                                                  |2011-07-07   |admin      
16 |ISIS            |spec|optical    |WHT-4.2m          |http://www.ing.iac.es/Astronomy/instruments/isis/                                                                   |Intermediate dispersion Spectrograph and Imaging System                                                                                                                                 |2011-05-26   |ofer       
17 |FOS-2           |spec|optical    |WHT-4.2m          |http://www.ing.iac.es/astronomy/instruments/isis/                                                                   |                                                                                                                                                                                        |2011-07-03   |admin      
18 |FOS-1           |spec|optical    |WHT-4.2m          |http://www.ing.iac.es/astronomy/instruments/isis/                                                                   |                                                                                                                                                                                        |2011-07-03   |admin      
19 |IDS             |spec|optical    |INT-2.5m          |http://www.ing.iac.es/astronomy/instruments/ids/                                                                    |The Intermediate Dispersion Spectrograph                                                                                                                                                |2011-07-03   |admin      
20 |Laiwo           |phot|optical    |Wise1m            |http://wise-obs.tau.ac.il/                                                                                          |                                                                                                                                                                                        |2011-07-06   |admin      
21 |PI              |phot|optical    |Wise1m            |http://wise-obs.tau.ac.il/                                                                                          |                                                                                                                                                                                        |2011-07-06   |admin      
22 |FOSC            |both|optical    |Wise1m            |http://wise-obs.tau.ac.il/                                                                                          |The Faint Object Spectrograph and Camera                                                                                                                                                |2011-07-06   |admin      
30 |EMMI            |spec|optical    |ESO-NTT           |http://www.eso.org/sci/facilities/lasilla/instruments/emmi/                                                         |ESO Multi-Mode Instrument (Decommissionned)                                                                                                                                             |2011-06-30   |admin      
31 |EFOSC2-NTT      |both|optical    |ESO-NTT           |http://www.eso.org/sci/facilities/lasilla/instruments/efosc/                                                        |ESO Faint Object Spectrograph and Camera                                                                                                                                                |2011-06-30   |admin      
32 |EFOSC2-3.6      |both|optical    |ESO-3.6m          |http://www.eso.org/sci/facilities/lasilla/instruments/efosc/                                                        |ESO Faint Object Spectrograph and Camera - Now on NTT                                                                                                                                   |2011-07-07   |admin      
33 |EFOSC-2.2       |both|optical    |ESO-2.2m          |http://www.eso.org/sci/facilities/lasilla/instruments/efosc/                                                        |ESO Faint Object Spectrograph and Camera                                                                                                                                                |2011-06-30   |admin      
34 |Sofi            |both|ir         |ESO-NTT           |http://www.eso.org/sci/facilities/lasilla/instruments/sofi/                                                         |infrared spectrograph and imaging camera                                                                                                                                                |2011-06-30   |admin      
35 |ISAAC           |both|ir         |VLT-UT3           |http://www.eso.org/public/teles-instr/vlt/vlt-instr.html                                                            |Infrared Spectrometer And Array Camera                                                                                                                                                  |2011-06-30   |admin      
37 |AFOSC           |both|optical    |Ekar              |http://www.pd.astro.it/Asiago/2000/2300/2310.html                                                                   |The Asiago Faint Object Spectrograph and Camera                                                                                                                                         |2011-07-03   |admin      
38 |B&C             |spec|optical    |Ekar              |http://www.pd.astro.it/Asiago/2000/2300/2332.html                                                                   |The Boller and Chivens spectrograph. Decommissioned.                                                                                                                                    |2011-07-06   |admin      
39 |Nickel Spec     |spec|optical    |Lick1m            |http://mthamilton.ucolick.org/techdocs/instruments/nickel_spect/intro/                                              |The Nickel Spectrograph                                                                                                                                                                 |2011-07-03   |admin      
40 |NICS            |both|optical+nir|TNG               |http://www.tng.iac.es/instruments/nics/                                                                             |                                                                                                                                                                                        |2013-04-21   |ilanm      
